m, repeat_after, max_value
918, 3071311062, 13828
919, 2002755055, 14138
920, 441870226, 13864
921, 1288281305, 13732
922, 53311206, 12854
923, 543629992, 13732
924, 729084865, 13388
925, 3768422067, 13732
926, 868360528, 14050
927, 838926764, 13522
928, 4551996541, 14656
929, 1819538843, 13968
930, 1425202946, 13690
931, 1896308885, 13850
932, None, None
933, 5345387408, 13784
934, 404333179, 13462
935, 1721980703, 13942
936, 1676127815, 13778
937, 121233078, 13021
938, 3527873665, 14162
939, 803839183, 14546
940, 4996645399, 14457
941, 395499717, 13198
942, 3399218522, 13924
943, 2491674610, 13947
944, 1552167157, 13945
945, 4842995624, 14294
946, 451101209, 13931
947, 3264377333, 14294
948, 3308366045, 14164
949, 2632045322, 13955
950, 72324720, 13941
951, 2760549741, 13956
952, 2168621161, 14372
953, 6871430122, 14038
954, 584013085, 13648
955, 983060327, 13644
956, 98769549, 13606
957, 615713127, 14158
958, 3482614473, 14427
959, 2029593077, 14453
960, 519739129, 14216
961, 3089265989, 14382
962, 1285508170, 14146
963, 3559482657, 14166
964, 4392746287, 14453
965, 6095560723, 14564
966, 2354419152, 14054
967, None, None
968, 3129801229, 14684
969, 3090930348, 14355
970, 2121654215, 14302
971, 456296790, 13766
972, 632234410, 14462
973, 483739541, 14461
974, 596107075, 14746
975, None, None
976, 1171827956, 14156
977, 1013016026, 14642
978, 2008237196, 14788
979, 448654206, 13986
980, 4142366297, 14774
981, 928995096, 14917
982, 580916887, 14483
983, 1395856364, 14126
984, 2764500902, 14538
985, 165030606, 14086
986, 4151469238, 14738
987, 81572743, 13945
988, 996090428, 14459
989, 663776041, 14542
990, 870476334, 14886
991, 1280522653, 14451
992, None, None
993, 515520571, 15076
994, 1984197257, 14431
995, 2613319303, 14730
996, 6376078297, 14914
997, 3397801750, 15298
998, 3611127363, 15021
999, 724288648, 14298
1000, 4321033596, 14954
1001, 1395424719, 15802
1002, 1617013374, 14684
1003, 692958858, 15114
1004, 4631524166, 15578
1005, 468420365, 14447
1006, 4105491238, 14578
1007, 42472364, 13614
1008, 5649808250, 14893
1009, 5684326578, 14920
1010, 25365521, 13220
1011, 1176048607, 15391
1012, 294047389, 14386
1013, 101479362, 14930
1014, 150334482, 14218
1015, 266556536, 13924
1016, 1076662808, 14457
1017, 2824435442, 15112
1018, 2826841478, 15398
1019, 5588488, 14253
1020, 579457084, 14266
1021, 3213998752, 14702
1022, 365822735, 14854
1023, 401075717, 14318
1024, 335041021, 14869
1025, 632297233, 14202
1026, 526962314, 14447
1027, 3255006539, 14900
1028, 35203276, 13990
1029, 216840927, 14570
1030, 1183185007, 14822
1031, 4608652, 13620
1032, 917322773, 14838
1033, 607358905, 14614
1034, 533073942, 14702
1035, 2599537533, 15730
1036, 496999947, 15258
1037, 24574228, 13939
1038, 2579741414, 15130
1039, 1635106513, 15122
1040, 63705885, 13966
1041, 929959751, 14866
1042, 997671606, 14868
1043, 111744479, 14116
1044, 722125011, 14548
1045, 547483225, 14862
1046, 200991955, 14491
1047, 559508096, 14538
1048, 634642735, 15018
1049, 141269454, 14457
1050, 491538864, 14842
1051, 122103306, 14836
1052, 333600135, 15238
1053, 1084504609, 14966
1054, 328383153, 14822
1055, 617922266, 14738
1056, 599917058, 15086
1057, 57832625, 14298
1058, 34705522, 13982
1059, 328650027, 15396
1060, 155353770, 15050
1061, 1102710823, 15278
1062, 214074865, 14871
1063, 211712812, 15102
1064, 1163100974, 15593
1065, 28399113, 15242
1066, 100498709, 15146
1067, 341124142, 15391
1068, 51707302, 15330
1069, 159519796, 15034
1070, 365838719, 15122
1071, 257619837, 15306
1072, 997452914, 15430
1073, 127949724, 15467
1074, 726558187, 15138
1075, 41447204, 14622
1076, 937291127, 15391
1077, 196457691, 14780
1078, 365984771, 15116
1079, 41271712, 14302
1080, 705379247, 15508
1081, 439558614, 15422
1082, 307076279, 14836
1083, 17071097, 14549
1084, 1016252986, 15990
1085, 347989909, 15122
1086, 139913903, 14787
1087, 10634091, 13931
1088, 251923475, 15306
1089, 351329195, 14894
1090, 161288511, 14908
1091, 790921046, 15274
1092, 1544670624, 15380
1093, 309181301, 14890
1094, 980841549, 15326
1095, 11691323, 14236
1096, 4639982727, 15542
1097, 850950914, 15474
1098, 238624360, 15162
1099, 1178633264, 15298
1100, 3078229360, 15931
1101, 1833107544, 15404
1102, 86914677, 15698
1103, 439261691, 15336
1104, 3076848969, 16316
1105, 1297633054, 15945
1106, 2138913983, 15802
1107, 1445039309, 15452
1108, 2757723188, 16246
1109, 2788206437, 15971
1110, 717651701, 15970
1111, None, None
1112, 7528424836, 16438
1113, None, None
1114, 634770809, 15541
1115, None, None
1116, 717257459, 15538
1117, 2280614230, 15706
1118, 739827892, 16286
1119, 5793413180, 16446
1120, 3603188487, 16768
1121, 1660082570, 15758
1122, 485036915, 15874
1123, None, None
1124, 4518049261, 16173
1125, 3103186640, 16718
1126, 2322826024, 16393
1127, 3635891735, 16108
1128, 1142554393, 15971
1129, 2413290151, 16888
1130, None, None
1131, 182413128, 15866
1132, 2096960484, 15989
1133, 3620902430, 16694
1134, 1228703582, 16399
1135, None, None
1136, 5954035629, 16902
1137, None, None
1138, 4665446640, 16634
1139, None, None
1140, 4534606570, 16870
1141, None, None
1142, None, None
1143, None, None
1144, 6711154875, 16903
1145, 8123680692, 17461
1146, 3399965523, 16462
1147, 5065813190, 16508
1148, None, None
1149, 326452594, 16634
1150, 645012548, 16496
1151, 244464491, 15755
1152, 3752804277, 16716
1153, None, None
1154, 8339101947, 16888
1155, 749595007, 15909
1156, 531501170, 16286
1157, 300903206, 15966
1158, 1940703763, 16958
1159, 1128651887, 17146
