m, repeat_after, max_value, most_common_tail_value, cycle_length, cycle_max, cycle_min, distinct_tail_values
397, 491156, 5692, 2634, 796, 2638, 2624, 5
398, 1001562, 6103, 2374, 800, 2374, 2350, 9
399, 795250, 4971, 2634, 800, 2638, 2624, 4
400, 106495, 4618, 2634, 802, 2638, 2624, 4
401, 188253, 5414, 2374, 402, 2374, 2366, 3
402, 653449, 5043, 2634, 806, 2638, 2624, 4
403, 127634, 5218, 2374, 404, 2374, 2366, 3
404, 384211, 4985, 2374, 812, 2374, 2350, 9
405, 1870570, 4958, 2634, 812, 2638, 2624, 4
406, 320357, 5370, 2374, 816, 2374, 2350, 9
407, 314836, 4622, 2634, 816, 2638, 2624, 4
408, 868256, 5668, 2374, 409, 2374, 2366, 3
409, 263023, 4422, 2042, 410, 2042, 2028, 4
410, 2207786, 5294, 2634, 822, 2638, 2624, 5
411, 277458, 4415, 2374, 412, 2374, 2366, 3
412, 983340, 5606, 2634, 826, 2638, 2624, 4
413, 428278, 4902, 2634, 828, 2638, 2624, 4
414, 359203, 5710, 2374, 832, 2374, 2350, 9
415, 87831, 4198, 2042, 416, 2042, 2028, 4
416, 795388, 4929, 2374, 836, 2374, 2350, 9
417, 891761, 4925, 2634, 836, 2638, 2624, 4
418, 2511013, 5744, 2634, 420, 2642, 2616, 7
419, 297867, 4948, 2634, 840, 2638, 2624, 5
420, 247729, 5071, 2642, 422, 2642, 2616, 7
421, 545789, 4927, 2042, 422, 2042, 2028, 4
422, 387477, 4751, 2634, 846, 2638, 2624, 4
423, 969811, 5706, 2374, 424, 2374, 2366, 3
424, 247802, 5367, 2634, 426, 2642, 2618, 8
425, 284238, 5553, 2374, 426, 2374, 2366, 3
426, 607004, 4842, 2634, 854, 2638, 2624, 4
427, 339952, 5219, 2042, 428, 2042, 2028, 4
428, 618084, 5215, 2642, 430, 2642, 2616, 9
429, 481675, 5209, 2634, 431, 2642, 2616, 7
430, 114903, 4957, 2518, 431, 2518, 2512, 3
431, 180944, 5158, 2634, 864, 2638, 2624, 5
432, 218452, 5097, 2642, 434, 2642, 2618, 8
433, 1520346, 5327, 2638, 868, 2638, 2624, 5
434, 353208, 5218, 2042, 435, 2042, 2028, 4
435, 478981, 5739, 2642, 437, 2642, 2618, 8
