m,trial_idx,rng_seed,timed_out,repeat_after,max_value,cycle_length,cycle_min,cycle_max,distinct_tail_values,value_set
25,297,7969029247223258358,0,943,236,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
16,639,7007664866824621894,0,444,204,17,112,118,3,112;114;118
25,298,14821366721639353035,0,467,206,27,150,166,5,150;156;158;164;166
25,1342,1582154318467922218,0,4395,356,27,150,166,5,150;156;158;164;166
49,624,7675211229005661501,0,13291,903,51,392,406,4,392;396;402;406
16,640,15741501975339538784,0,461,133,287,66,82,8,66;68;70;72;74;76;78;82
25,299,14289795561956067204,0,637,228,27,150,166,5,150;156;158;164;166
16,641,11286685211574728390,0,80,279,17,112,118,3,112;114;118
49,625,4061919301214959490,0,532,677,50,350,358,4,350;354;356;358
49,792,8778413049842159269,0,2664,1706,50,300,314,4,300;306;310;314
16,642,2400546967331753558,0,348,247,34,76,82,4,76;78;80;82
25,300,8774330171791258760,0,790,262,52,172,178,4,172;174;176;178
49,1119,11827071621028859872,0,4038,569,50,196,201,2,196;201
25,301,13784718921353916352,0,360,618,52,172,178,4,172;174;176;178
16,643,9547208274765604032,0,716,178,287,66,82,8,66;68;70;72;74;76;78;82
49,330,17624791212171444793,0,4987,870,50,300,314,4,300;306;310;314
25,1343,12395409900436275835,0,2892,282,27,150,166,5,150;156;158;164;166
49,626,13423033449482024928,0,2389,1424,50,300,314,4,300;306;310;314
16,644,11883278809696398400,0,261,155,17,112,118,4,112;114;116;118
16,645,3287476919449046041,0,73,118,17,112,118,4,112;114;116;118
49,793,11367305231079274979,0,3817,1489,50,350,358,4,350;354;356;358
16,646,10185696528820298350,0,295,147,17,112,118,3,112;114;118
25,302,12835868782057581057,0,1660,275,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
49,1120,12734476255038503255,0,2328,1205,50,300,314,4,300;306;310;314
16,647,5711986766529223552,0,511,190,287,66,82,8,66;68;70;72;74;76;78;82
16,648,7753386204650538528,0,320,178,17,112,118,3,112;114;118
49,794,12352087534212912379,0,3036,1055,50,350,358,4,350;354;356;358
16,649,1508384578659307223,0,161,192,17,112,118,4,112;114;116;118
25,303,2966301435127629942,0,2438,262,27,150,166,5,150;156;158;164;166
16,650,10905077582962323532,0,174,147,17,112,118,4,112;114;116;118
49,331,10339036421682854743,0,4356,462,50,300,314,4,300;306;310;314
16,651,11207305625892883490,0,133,117,34,76,82,4,76;78;80;82
49,627,846896789955658213,0,6184,1464,50,300,314,4,300;306;310;314
49,795,1744010510356598076,0,990,1404,50,350,358,4,350;354;356;358
16,652,9723502845976911916,0,82,226,17,112,118,4,112;114;116;118
16,653,17729625868791102153,0,124,220,17,112,118,4,112;114;116;118
25,304,16678688181280216616,0,1290,550,26,180,194,3,180;190;194
