m,realised_K,n_admissible,pos_index,min_admissible_K,max_admissible_K
838,6242,316,58,1951,16376
839,6242,319,49,3373,16376
840,6242,290,48,3373,16472
841,6242,326,53,3373,16376
842,6242,314,49,3373,16376
843,6242,317,50,3373,16408
844,6222,313,54,3373,16376
845,6242,313,49,3373,16472
846,6242,301,48,3373,16408
847,6242,331,50,3373,16376
848,6242,313,52,3373,16376
849,5162,315,24,3373,16408
850,6242,305,53,3373,16472
851,6242,335,52,1951,16376
852,6242,310,48,3373,16408
853,6242,333,54,3373,16376
854,6222,304,49,3373,16376
855,6222,315,47,3373,16472
856,6242,313,53,3373,16376
857,7562,329,83,1791,16376
858,6242,312,51,3373,16408
859,6222,325,52,3373,16376
860,5162,305,24,3373,16472
861,6222,310,44,3373,16408
862,5162,320,26,3373,16376
863,5162,329,26,3373,16376
864,6242,303,50,1951,16408
865,6242,321,51,3373,16472
866,6242,306,49,3373,16376
868,7562,308,86,3373,16376
869,6242,320,49,3373,16376
870,5162,294,23,3373,16472
871,6242,318,49,3373,16376
872,6242,317,47,3373,16376
873,5162,316,23,3373,16408
874,6242,311,49,3373,16376
875,6242,314,45,3373,16472
876,6242,300,47,3373,16408
877,5162,335,24,1951,16376
878,6242,305,47,3373,16376
879,5162,317,24,3373,16408
880,6242,305,49,3373,16472
881,6242,318,42,3373,16376
882,6222,299,44,1791,16408
883,6242,328,49,3373,16376
884,6242,304,45,3373,16376
885,6242,303,41,3373,16472
886,6242,312,47,3373,16376
887,6222,326,41,3373,16376
888,6242,303,43,3373,16408
889,7562,313,77,3373,16376
890,6242,305,46,1951,16472
891,6242,312,41,3373,16408
892,6242,312,47,3373,16376
893,6242,325,45,3373,16376
894,6222,296,42,3373,16408
895,6242,316,44,3373,16472
896,6242,301,42,3373,16376
897,6242,317,42,3373,16408
898,6242,310,48,3373,16376
899,6242,315,43,3373,16376
900,6242,301,44,3373,16472
901,6222,317,43,3373,16376
902,6242,314,43,3373,16376
903,6242,312,44,1951,16408
904,6242,305,47,3373,16376
905,6242,314,44,3373,16472
906,7562,297,71,3373,16408
907,6242,337,46,3373,16376
908,6242,311,45,3373,16376
909,6242,311,40,3373,16408
910,6242,298,43,3373,16472
911,6242,325,42,3373,16376
912,6242,309,39,3373,16408
913,6242,321,43,3373,16446
914,6242,310,42,3373,16470
915,6242,307,39,3373,16472
916,6222,310,43,1951,16446
917,6242,322,38,3373,16446
918,6242,305,43,3373,16446
919,5162,324,22,3373,16446
920,6242,300,40,3373,16472
921,6222,317,38,3373,16470
922,6242,315,41,3373,16446
923,6242,325,40,3373,16446
924,5162,293,21,3373,16446
925,6242,315,42,3373,16472
926,6222,311,38,3373,16446
927,6242,316,37,3373,16446
928,6222,323,45,3373,16470
929,6242,321,41,1951,16446
930,5162,294,20,3373,16472
931,6242,312,39,3373,16446
932,6242,314,39,3373,16446
933,6242,314,38,3373,16446
934,6242,301,42,3373,16446
935,6242,320,37,3373,16472
936,6242,296,36,3373,16446
937,6242,322,37,3373,16446
939,6242,307,37,3373,16446
940,6222,298,38,3373,16472
941,6242,316,37,3373,16446
942,6242,309,39,1951,16470
943,6242,318,41,3373,16446
944,6242,300,38,3373,16446
945,6242,295,34,3373,16472
946,6222,307,40,3373,16446
947,6242,321,37,3373,16446
948,5670,289,22,3373,16446
949,6242,310,39,3373,16470
950,5670,293,22,3373,16472
951,7562,306,61,3373,16446
952,6242,304,38,3373,16446
953,6242,309,37,3373,16446
954,6222,287,35,3373,16446
955,6242,304,38,1951,16472
956,6242,304,36,3373,16470
957,6222,306,33,3373,16446
958,6242,297,37,3373,16446
959,6242,301,34,3373,16446
960,6242,284,37,3373,16472
961,6242,312,38,3373,16446
962,6242,303,36,3373,16446
963,6242,312,36,3373,16470
964,7562,294,66,3373,16446
965,6242,303,33,3373,16472
